nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Gini Rasio";Perkotaan;2007;Tahunan;0.337;"SUMATERA SELATAN"
"Gini Rasio";Perkotaan;2007;Tahunan;0.367;BENGKULU
"Gini Rasio";Perkotaan;2007;Tahunan;0.436;LAMPUNG
"Gini Rasio";Perkotaan;2007;Tahunan;0.256;"KEP. BANGKA BELITUNG"
"Gini Rasio";Perkotaan;2007;Tahunan;0.321;"KEP. RIAU"
"Gini Rasio";Perkotaan;2007;Tahunan;0.367;"DKI JAKARTA"
"Gini Rasio";Perkotaan;2007;Tahunan;0.355;"JAWA BARAT"
"Gini Rasio";Perkotaan;2007;Tahunan;0.349;"JAWA TENGAH"
"Gini Rasio";Perkotaan;2007;Tahunan;0.367;"DI YOGYAKARTA"
"Gini Rasio";Perkotaan;2007;Tahunan;0.348;"JAWA TIMUR"
"Gini Rasio";Perkotaan;2007;Tahunan;0.356;BANTEN
"Gini Rasio";Perkotaan;2007;Tahunan;0.345;BALI
"Gini Rasio";Perkotaan;2007;Tahunan;0.355;"NUSA TENGGARA BARAT"
"Gini Rasio";Perkotaan;2007;Tahunan;0.363;"NUSA TENGGARA TIMUR"
"Gini Rasio";Perkotaan;2007;Tahunan;0.339;"KALIMANTAN BARAT"
"Gini Rasio";Perkotaan;2007;Tahunan;0.322;"KALIMANTAN TENGAH"
"Gini Rasio";Perkotaan;2007;Tahunan;0.356;"KALIMANTAN SELATAN"
"Gini Rasio";Perkotaan;2007;Tahunan;0.346;"KALIMANTAN TIMUR"
"Gini Rasio";Perkotaan;2007;Tahunan;-;"KALIMANTAN UTARA"
"Gini Rasio";Perkotaan;2007;Tahunan;0.352;"SULAWESI UTARA"
"Gini Rasio";Perkotaan;2007;Tahunan;0.292;"SULAWESI TENGAH"
"Gini Rasio";Perkotaan;2007;Tahunan;0.358;"SULAWESI SELATAN"
"Gini Rasio";Perkotaan;2007;Tahunan;0.342;"SULAWESI TENGGARA"
"Gini Rasio";Perkotaan;2007;Tahunan;0.437;GORONTALO
"Gini Rasio";Perkotaan;2007;Tahunan;0.289;"SULAWESI BARAT"
"Gini Rasio";Perkotaan;2007;Tahunan;0.325;MALUKU
"Gini Rasio";Perkotaan;2007;Tahunan;0.317;"MALUKU UTARA"
"Gini Rasio";Perkotaan;2007;Tahunan;0.287;"PAPUA BARAT"
"Gini Rasio";Perkotaan;2007;Tahunan;0.317;PAPUA
"Gini Rasio";Perkotaan;2007;Tahunan;0.374;INDONESIA
"Gini Rasio";Perdesaan;2007;Tahunan;0.257;ACEH
"Gini Rasio";Perdesaan;2007;Tahunan;0.269;"SUMATERA UTARA"
"Gini Rasio";Perdesaan;2007;Tahunan;0.279;"SUMATERA BARAT"
"Gini Rasio";Perdesaan;2007;Tahunan;0.301;RIAU
"Gini Rasio";Perdesaan;2007;Tahunan;0.28;JAMBI
"Gini Rasio";Perdesaan;2007;Tahunan;0.299;"SUMATERA SELATAN"
"Gini Rasio";Perdesaan;2007;Tahunan;0.288;BENGKULU
"Gini Rasio";Perdesaan;2007;Tahunan;0.303;LAMPUNG
"Gini Rasio";Perdesaan;2007;Tahunan;0.297;"KEP. BANGKA BELITUNG"
"Gini Rasio";Perdesaan;2007;Tahunan;0.256;"KEP. RIAU"
"Gini Rasio";Perdesaan;2007;Tahunan;-;"DKI JAKARTA"
"Gini Rasio";Perdesaan;2007;Tahunan;0.279;"JAWA BARAT"
"Gini Rasio";Perdesaan;2007;Tahunan;0.285;"JAWA TENGAH"
"Gini Rasio";Perdesaan;2007;Tahunan;0.316;"DI YOGYAKARTA"
"Gini Rasio";Perdesaan;2007;Tahunan;0.289;"JAWA TIMUR"
"Gini Rasio";Perdesaan;2007;Tahunan;0.246;BANTEN
"Gini Rasio";Perdesaan;2007;Tahunan;0.295;BALI
"Gini Rasio";Perdesaan;2007;Tahunan;0.296;"NUSA TENGGARA BARAT"
"Gini Rasio";Perdesaan;2007;Tahunan;0.283;"NUSA TENGGARA TIMUR"
"Gini Rasio";Perdesaan;2007;Tahunan;0.287;"KALIMANTAN BARAT"
"Gini Rasio";Perdesaan;2007;Tahunan;0.274;"KALIMANTAN TENGAH"
"Gini Rasio";Perdesaan;2007;Tahunan;0.289;"KALIMANTAN SELATAN"
"Gini Rasio";Perdesaan;2007;Tahunan;0.295;"KALIMANTAN TIMUR"
"Gini Rasio";Perdesaan;2007;Tahunan;-;"KALIMANTAN UTARA"
"Gini Rasio";Perdesaan;2007;Tahunan;0.294;"SULAWESI UTARA"
"Gini Rasio";Perdesaan;2007;Tahunan;0.317;"SULAWESI TENGAH"
"Gini Rasio";Perdesaan;2007;Tahunan;0.31;"SULAWESI SELATAN"
"Gini Rasio";Perdesaan;2007;Tahunan;0.323;"SULAWESI TENGGARA"
"Gini Rasio";Perdesaan;2007;Tahunan;0.308;GORONTALO
"Gini Rasio";Perdesaan;2007;Tahunan;0.34;"SULAWESI BARAT"
"Gini Rasio";Perdesaan;2007;Tahunan;0.273;MALUKU
"Gini Rasio";Perdesaan;2007;Tahunan;0.311;"MALUKU UTARA"
"Gini Rasio";Perdesaan;2007;Tahunan;0.312;"PAPUA BARAT"
"Gini Rasio";Perdesaan;2007;Tahunan;0.36;PAPUA
"Gini Rasio";Perdesaan;2007;Tahunan;0.302;INDONESIA
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.285;ACEH
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.322;"SUMATERA UTARA"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.32;"SUMATERA BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.339;RIAU
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.321;JAMBI
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.329;"SUMATERA SELATAN"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.35;BENGKULU
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.402;LAMPUNG
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.278;"KEP. BANGKA BELITUNG"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.32;"KEP. RIAU"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.367;"DKI JAKARTA"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.357;"JAWA BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.338;"JAWA TENGAH"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.378;"DI YOGYAKARTA"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.348;"JAWA TIMUR"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.379;BANTEN
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.348;BALI
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.339;"NUSA TENGGARA BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.363;"NUSA TENGGARA TIMUR"
"Gini Rasio";Perkotaan+Perdesaan;2007;Tahunan;0.321;"KALIMANTAN BARAT"
